Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,328079,Inbred012,327,Mo17,"NIL2613-3,5,8",166.3364861,19.80131084,14.21833333,61.5,64.5,80.41666667,164.830125,95.46583333,81.2475,4.582054167,10.33333333,175
Iowa,328065,Inbred014,327,B004,NIL2704-1,155.0169056,26.9039975,22.91033334,59.5,59,81.11666667,149.9292326,136.80875,113.8984167,4.072505472,17.46666667,168.875
Iowa,328067,Inbred015,327,B040,NIL2740-4,152.781,24.73316181,21.52333334,57,59,72.7,150.7918625,119.3433334,97.82,4.830533194,17.33333333,163
Iowa,328059,Inbred016,327,B043,NIL2743-1,117.5949444,22.14804153,9.844166667,61,60.5,70,115.6645445,65.01083333,55.16666667,4.338099514,14.5,150.475
Iowa,328054,Inbred017,327,B049,NIL2749-1,133.0360278,28.36333334,22.58666667,63,63.5,89.25,127.41275,108.80875,86.22208334,4.257392778,16.16666667,167.625
Iowa,328053,Inbred018,327,B055,NIL2755-1,144.4660278,25.55010694,19.70916667,62,62.5,101.3333333,139.2228681,111.3616667,91.6525,3.952929681,19.25,187.5
Iowa,328077,Inbred019,327,B102,NIL2802-4,138.5824,25.49436806,18.463,62,61.5,77.7,134.3289583,91.54475,73.08175,4.159193556,17.08333333,157.7916667
Iowa,328071,Inbred020,327,B107,NIL2807-1,87.51358333,24.507825,10.005,60.8,61.5,87.5,86.57166667,57.57375,47.56875,4.738541979,16.75,190
Iowa,328062,Inbred021,327,B111,NIL2811-1,150.9112778,27.62920278,22.3675,61.5,62,87.91666667,147.3385208,127.9595834,105.5920834,4.003489792,19.5,172.25
Iowa,328080,Inbred022,327,B122,NIL2822-4,137.1635278,28.09381111,19.6575,61.5,61.5,93.1,134.4824167,112.27,92.6125,4.076788194,19,181.5416667
Iowa,328074,Inbred023,327,B123,NIL2823-1,156.2332833,27.381454,24.859,62,62.5,105.025,146.0367708,132.3095,107.4505,4.8467645,18.25,204.75
Iowa,328072,Inbred024,327,B125,NIL2825-1,156.3380583,25.45331178,22.59483334,62.5,62.5,109.05,155.5132639,114.8894167,92.29458334,4.847995695,17.4,215.8333333
Iowa,328056,Inbred025,327,B131,NIL2831-1,137.1832833,25.19637667,18.08783334,61.5,60,91.58333333,135.6248875,87.82758334,69.73975,4.267623333,17.75,175.05
Iowa,328081,Inbred026,327,B154,NIL2854-1,155.7602083,25.35995972,22.02833333,59.5,60,71.83333333,149.7188889,119.1979167,97.16958334,3.855675903,17.33333333,161
Iowa,328066,Inbred027,327,B175,NIL2875-4,132.4715833,28.38873333,20.6025,57.5,57,60.16666667,129.8689653,122.5145833,101.9120834,4.58676375,18.66666667,142.3333333
Iowa,328057,Inbred028,327,B189,NIL2889-4,119.8142695,24.83181611,15.30383334,60.5,61.5,71.58333333,117.0609271,82.723,67.41916667,4.318313972,16.7,152.6666667
Iowa,328078,Inbred029_33,327,B73,NIL2655-1-10,140.7507839,26.87952883,21.4384,60.5,59.9,84.5,136.9041656,121.4061167,99.96771667,4.300191778,17.86666667,172.785
