Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,330064,Inbred012,329,Mo17,"NIL2613-3,5,8",145.2192083,18.31377042,10.3125,61.5,64,84.5,142.7277153,66.42166667,56.10916667,5.232514653,10.41666667,184
Iowa,330056,Inbred014,329,B004,NIL2704-1,116.0656528,23.63925083,11.04416667,65,66,93.75,114.410243,53.03166667,41.9875,5.032780694,16.33333333,211.3333333
Iowa,330070,Inbred015,329,B040,NIL2740-4,124.21235,23.578185,13.35,60,61,81.55,121.6808167,72.1305,58.7805,4.327884833,15.4,188.25
Iowa,330059,Inbred016,329,B043,NIL2743-1,111.0107,19.89745689,6.657333334,61,61,71.13333333,109.0312639,31.583,24.92566667,4.453863542,14.33333333,159.3333333
Iowa,330060,Inbred017,329,B049,NIL2749-1,94.29926389,25.76300833,11.21166667,66,66,104.1,95.81867778,40.74583334,29.53416667,4.693840625,17.5,199.9
Iowa,330054,Inbred018,329,B055,NIL2755-1,116.3531667,23.33524458,12.58833333,63.5,64.5,126.8333333,113.6244306,68.35416667,55.76583333,4.384234028,15.66666667,227.6666667
Iowa,330068,Inbred019,329,B102,NIL2802-4,129.7269722,24.28857361,16.12583334,64,63,97.33333333,126.7177778,85.4725,69.34666667,3.866982431,15.83333333,194
Iowa,330083,Inbred020,329,B107,NIL2807-1,101.4289028,25.06556667,13.47583334,65,63,111.3333333,100.5742986,74.15458333,60.67875,4.660979375,15.5,199.2083333
Iowa,330065,Inbred021,329,B111,NIL2811-1,119.3789417,25.62648334,14.23183334,65.5,65,113.1333333,114.7679597,70.38675,56.15491667,4.604550806,16.76666667,215.4666667
Iowa,330082,Inbred022,329,B122,NIL2822-4,119.6745694,27.46357361,14.9075,63.5,64,118.8333333,116.4854583,75.57666667,60.66916667,4.405876944,18.76666667,226
Iowa,330055,Inbred023,329,B123,NIL2823-1,110.2351181,24.33739806,12.71291667,63,65.5,131.8833333,107.8322604,55.25979167,42.546875,5.220771563,16.33333333,243.8333333
Iowa,330061,Inbred024,329,B125,NIL2825-1,115.8469305,22.35005267,13.53316667,65.5,66,122.6,129.1808722,67.65641667,54.12325,5.280261361,15.2,238.0666667
Iowa,330069,Inbred025,329,B131,NIL2831-1,136.23925,25.37812778,17.70583334,63.5,63.5,108.0833333,130.9237708,87.18583334,69.48,3.811605139,17,213.3333333
Iowa,330066,Inbred026,329,B154,NIL2854-1,137.7120972,24.10883333,16.585,61,61,89.33333333,136.2720583,91.85291667,75.26791667,3.804990556,15.5,190.4833333
Iowa,330053,Inbred027,329,B175,NIL2875-4,115.7605,25.5063625,13.34916667,61,61,83.33333333,112.8033403,68.16416667,54.815,4.621803403,16.83333333,174.15
Iowa,330052,Inbred028,329,B189,NIL2889-4,110.2719833,24.47522833,11.999,62,63,89.75,107.0363937,57.725,45.726,4.7711995,15.6,189.7166667
Iowa,330074,Inbred029_33,329,B73,NIL2655-1-10,126.7019028,24.97439831,16.00566667,62.8,62.2,101.8416667,122.7680778,81.96291666,65.95725,4.385285306,16.32666667,204.3083333
