Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Minnesota,110062,Inbred012,109,Mo17,"NIL2613-3,5,8",156.9190833,19.9090668,12.8,68,70.5,82.08333333,154.5607639,95.29166667,82.49166667,4.742488681,10.5,179.75
Minnesota,110077,Inbred014,109,B004,NIL2704-1,125.1055833,24.80733333,14.1,69,70,75.875,124.4370694,53.76666667,39.66666667,4.266847222,17.83333333,170.4583333
Minnesota,110080,Inbred015,109,B040,NIL2740-4,126.58725,24.81191944,16.48333333,69,71.5,54.91666667,125.7829167,92.41666667,75.93333333,4.139265139,16,147.9166667
Minnesota,110079,Inbred016,109,B043,NIL2743-1,114.7339167,22.51780556,9.333333333,66.5,67,51.75,114.0565833,76.45,67.11666667,4.0833675,15,127.1666667
Minnesota,110054,Inbred017,109,B049,NIL2749-1,113.7796528,27.30217778,16.43333333,68.5,71,98.58333333,112.1039583,79.25,62.81666667,4.248220556,16.83333333,188.75
Minnesota,110081,Inbred018,109,B055,NIL2755-1,122.7384444,24.66904444,15.41666667,68,68,111.5,121.5051333,94.23333333,78.81666667,4.032588667,19.66666667,210.8333333
Minnesota,110072,Inbred019,109,B102,NIL2802-4,118.4768889,24.24200694,13.90833334,69,70.5,83.08333333,116.9299583,69.19166667,55.28333334,4.335219083,17.33333333,168.8333333
Minnesota,110055,Inbred020,109,B107,NIL2807-1,96.12735834,24.43015745,12.62166667,68.5,69.5,93.66666667,92.72905,60.80833334,48.18666667,4.716406056,16.56666667,185
Minnesota,110064,Inbred021,109,B111,NIL2811-1,133.0924722,26.79876389,17.89166667,68.5,69,88.5,130.5057292,111.1,93.20833334,3.853920833,19.33333333,180.5833333
Minnesota,110051,Inbred022,109,B122,NIL2822-4,119.364125,27.48915,15,67.5,70,111.1666667,118.39575,87.06666667,72.06666667,4.076611805,19,205.25
Minnesota,110071,Inbred023,109,B123,NIL2823-1,122.8513333,26.63317,19.2,69,69.5,100.25,116.93525,90.2,71,4.3018075,18.4,197
Minnesota,110059,Inbred024,109,B125,NIL2825-1,116.1803056,23.53768611,16.46666667,68.5,70,118.4166667,116.6477361,96.86666667,80.4,4.587830903,17.16666667,216.6666667
Minnesota,110078,Inbred025,109,B131,NIL2831-1,128.9889611,24.74838417,15.35,68.5,69.5,71.58333333,124.2359861,77.51666667,62.16666667,4.312576042,16.7,167.5833333
Minnesota,110065,Inbred026,109,B154,NIL2854-1,120.8016945,23.81779167,15.23333334,69,71,79.33333333,118.8190833,91.11666665,75.88333333,3.771829444,17.16666667,166.5833333
Minnesota,110076,Inbred027,109,B175,NIL2875-4,112.4585,24.97419722,12.74583334,68,68.5,53.08333333,110.07725,68.50416667,55.75833334,4.202147778,17.58333333,129.75
Minnesota,110075,Inbred028,109,B189,NIL2889-4,103.6955,24.24387667,12.12,69,72,69.625,100.6199833,67.6,55.48,4.596172333,16.8,154.875
Minnesota,110070,Inbred029_33,109,B73,NIL2655-1-10,119.7718479,25.7239382,17.657,68.1,69.8,89.8,117.4035625,96.977,79.32,3.936415271,18.01333333,184.6333333
