Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,324077,Inbred012,323,Mo17,"NIL2613-3,5,8",179.2111111,19.98794439,13.95133334,68,72,74.66666667,178.9551708,100.2709167,86.31958334,5.333105708,9.866666667,169.5
Iowa,324067,Inbred014,323,B004,NIL2704-1,141.9253222,26.80158611,21.0845,67,67,79.05,140.8599333,123.7015834,102.6170834,4.515776042,17.6,169.0333333
Iowa,324064,Inbred015,323,B040,NIL2740-4,143.7513,23.58130356,17.79666667,65,66.5,68.76666667,143.9298055,90.53166667,72.735,5.27015075,16.33333333,169.375
Iowa,324074,Inbred016,323,B043,NIL2743-1,121.9111806,22.13924325,10.91766667,68.5,67.5,69.96666667,123.9086083,76.40958334,65.49191667,4.33435125,14.43333333,154.5
Iowa,324075,Inbred017,323,B049,NIL2749-1,133.080125,28.81824028,23.41583334,70,69.5,82.75,129.1528264,109.9491667,86.53333333,4.295969028,16.33333333,166
Iowa,324069,Inbred018,323,B055,NIL2755-1,139.5938139,26.64519972,21.35,69,69,101.7083333,138.5730514,127.8615,106.5115,3.855055014,17.93333333,185.3333333
Iowa,324068,Inbred019,323,B102,NIL2802-4,140.7107083,26.4033,21.04833334,68.5,68,79.66666667,138.8815556,94.67791667,73.62958334,4.027187639,17.66666667,164.375
Iowa,324055,Inbred020,323,B107,NIL2807-1,102.0360333,25.89014945,14.24333334,69,68,82.25,101.0422583,78.507,64.26366667,4.871825833,17.4,159
Iowa,324061,Inbred021,323,B111,NIL2811-1,154.7699611,28.17766639,26.358,68.5,68.5,84.91666667,151.6097778,140.43375,114.07575,4.134238056,18.2,167.75
Iowa,324065,Inbred022,323,B122,NIL2822-4,140.6189861,28.82547222,22.67333334,69,68.5,92.25,140.1365625,118.4204167,95.74708334,4.535840278,17.16666667,182.6666667
Iowa,324060,Inbred023,323,B123,NIL2823-1,149.5971805,28.16013333,22.605,68.5,70.5,97.73333333,146.7011396,127.8485417,105.2435417,4.591042062,17.6,209
Iowa,324058,Inbred024,323,B125,NIL2825-1,172.4898125,25.46482292,25.5775,69,69,114.5,175.9293958,142.3116667,116.7341667,4.563815556,16.33333333,216
Iowa,324083,Inbred025,323,B131,NIL2831-1,147.955,25.43686528,22.0825,69,67.5,86.75,145.4396944,101.7383334,79.65583333,3.933084167,16.33333333,169.5
Iowa,324051,Inbred026,323,B154,NIL2854-1,143.4235694,24.24959167,20.10416667,66.5,66.5,75.83333333,140.4717014,103.5866667,83.4825,4.474130625,16.58333333,161.6
Iowa,324052,Inbred027,323,B175,NIL2875-4,144.0278778,27.69626583,24.888,65,65,58.71666667,142.5901319,133.4043334,108.5163334,4.700689806,16.33333333,140.2083333
Iowa,324079,Inbred028,323,B189,NIL2889-4,105.6939861,23.78655319,11.24333334,68,68,71.33333333,104.8755417,47.70833333,36.465,6.284291611,16.33333333,160.6666667
Iowa,324078,Inbred029_33,323,B73,NIL2655-1-10,132.860415,25.64981253,19.89313334,68.2,67.4,79.86666667,132.0788006,91.18833333,71.2952,4.896088125,15.98333333,171.2616667
