Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,336070,Inbred012,335,Mo17,"NIL2613-3,5,8",163.6430278,19.57987222,13.2575,62.5,65,82.08333333,163.63315,73.52,60.2625,5.506593,10.9,178.25
Iowa,336082,Inbred014,335,B004,NIL2704-1,152.9362222,27.78160278,22.08333334,61.5,61,84.91666667,146.7467361,131.24125,109.1579167,3.756254306,17.83333333,177.25
Iowa,336064,Inbred015,335,B040,NIL2740-4,141.2945556,24.7532525,19.1775,61.5,62,77.33333333,140.5632472,89.68541669,70.50791667,4.876456042,16,179
Iowa,336076,Inbred016,335,B043,NIL2743-1,120.665875,22.53816083,10.33583334,65.5,64,68.61666667,118.1496875,58.22541667,47.88958334,4.128214375,14,154.275
Iowa,336055,Inbred017,335,B049,NIL2749-1,120.1335333,27.01586333,19.79233334,65,65,99.91666667,114.6915833,79.04391667,59.25158334,4.938162167,15.8,188.1666667
Iowa,336062,Inbred018,335,B055,NIL2755-1,129.6458333,24.83767222,16.78,63.5,64,110.9166667,124.9371319,87.74916667,70.96916667,4.314922014,17.3,206.75
Iowa,336066,Inbred019,335,B102,NIL2802-4,128.5522222,25.19186111,17.27333333,63,62.5,84.08333333,124.0225556,91.07083334,73.7975,3.934424722,16.66666667,180
Iowa,336078,Inbred020,335,B107,NIL2807-1,100.7709722,25.968325,13.37333333,66,64,98.875,100.5328472,69.86333333,56.49,4.747030695,16.66666667,187.0416667
Iowa,336072,Inbred021,335,B111,NIL2811-1,141.224,27.08680695,20.75833334,63,64,97.41666667,137.0294722,104.9995833,84.24125002,4.47025007,18.16666667,187.8333333
Iowa,336083,Inbred022,335,B122,NIL2822-4,119.0921333,28.20585333,17.97316667,65,65,98.15,114.4799167,84.71241667,66.73925,4.883763833,17.36666667,197.9166667
Iowa,336053,Inbred023,335,B123,NIL2823-1,143.6511111,27.88108611,24.10333334,63.5,64,116.4166667,135.1950278,119.4533333,95.35000002,4.346786667,16.66666667,223.6666667
Iowa,336075,Inbred024,335,B125,NIL2825-1,152.7919361,25.45051778,21.68433334,63.5,63.5,119.0833333,149.6707347,115.385,93.70066665,4.896993,16.66666667,221.6666667
Iowa,336051,Inbred025,335,B131,NIL2831-1,128.6898056,26.21174167,18.84166667,64.5,63.5,93,122.062875,89.46916667,70.6275,4.186978333,16.66666667,183.5
Iowa,336074,Inbred026,335,B154,NIL2854-1,132.6377417,24.75736942,18.2805,61,61,79.08333333,125.6789354,91.4695,73.189,4.279730667,16.15,164.4166667
Iowa,336073,Inbred027,335,B175,NIL2875-4,138.4264722,27.34204167,20.65416667,63.5,61.5,68.58333333,131.6266806,96.38416669,75.73,4.41055125,16.33333333,154.6666667
Iowa,336068,Inbred028,335,B189,NIL2889-4,95.66627779,22.46129056,9.829166667,62,63,77.41666667,94.53165625,41.70708333,31.87791667,5.781278125,17,170.1666667
Iowa,336080,Inbred029_33,335,B73,NIL2655-1-10,139.1728324,26.45352615,21.73116667,61.925,61.2,90.85,134.0355531,113.2648333,91.53366668,4.136596963,16.23333333,190.6966667
