Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,326075,Inbred012,325,Mo17,"NIL2613-3,5,8",173.17085,19.4395725,13.021,61.5,64.5,91.25,170.602275,85.1265,72.1055,4.7179865,10.6,185.4166667
Iowa,326080,Inbred014,325,B004,NIL2704-1,140.8006667,25.80657639,16.36,62,62.5,92.16666667,133.7578111,93.86124999,77.50125,4.458608403,17.66666667,187.5333333
Iowa,326052,Inbred015,325,B040,NIL2740-4,138.5940417,23.76981389,16.98,59,59.5,69.66666667,135.3052708,96.90458333,79.92458333,4.592937361,15.5,163.4166667
Iowa,326078,Inbred016,325,B043,NIL2743-1,129.0672778,22.11906083,10.80083333,60,60.5,65.58333333,125.9778264,65.79416667,54.99333333,4.127464722,14.33333333,149.0416667
Iowa,326069,Inbred017,325,B049,NIL2749-1,128.6562917,27.94440972,20.28833334,65.5,66.5,98,121.729941,92.30166665,72.01333333,4.318926042,16.33333333,187.4666667
Iowa,326068,Inbred018,325,B055,NIL2755-1,137.9897333,25.11827167,17.848,63,64,107.8333333,134.0125167,100.5375,82.6895,4.22309925,18.65,201.25
Iowa,326055,Inbred019,325,B102,NIL2802-4,131.8718611,25.30078125,16.46333334,64,64.5,82.83333333,129.8936597,85.66958334,69.20625,4.011162708,17.66666667,171.9
Iowa,326053,Inbred020,325,B107,NIL2807-1,112.3491389,25.67481389,14.91333333,66,64,85.58333333,107.4543472,84.62333333,69.71,4.329482917,16.33333333,173.35
Iowa,326079,Inbred021,325,B111,NIL2811-1,133.4336083,26.20287812,16.89775,63.5,64.5,96.54166667,133.5824805,92.986,76.08825,3.9713535,19.53333333,191.4166667
Iowa,326071,Inbred022,325,B122,NIL2822-4,137.6874028,28.32002986,15.47333333,62,64.5,96.63333333,128.3630451,69.84,54.36666667,4.99935941,18.75,193.3333333
Iowa,326067,Inbred023,325,B123,NIL2823-1,133.7768611,24.16448403,16.38833334,63,66,110.1666667,141.5970625,80.74875,64.36041667,6.977843021,16.4,220.2
Iowa,326059,Inbred024,325,B125,NIL2825-1,136.4473889,23.54782847,16.48833333,63.5,64,115.7666667,133.3094306,87.65208333,71.16375,4.752985583,16.6,215.8333333
Iowa,326064,Inbred025,325,B131,NIL2831-1,145.8827833,25.43637139,19.2065,62.5,62,97.08333333,142.1339903,84.81958334,65.61308334,3.958706417,17.36666667,190.65
Iowa,326076,Inbred026,325,B154,NIL2854-1,129.4429861,23.16360056,14.8475,61,62.5,81.63333333,124.793375,82.31416669,67.46666667,4.074856736,16.3,169.8166667
Iowa,326057,Inbred027,325,B175,NIL2875-4,139.1013361,27.30990361,23.03166667,59.5,60,73.38333333,136.1462931,126.445,103.4133333,4.456922125,17.93333333,153.6666667
Iowa,326051,Inbred028,325,B189,NIL2889-4,116.13515,24.27280444,13.54666667,61,63,85.6,111.1493417,84.43533334,70.88866667,4.97855434,16.75,171.2
Iowa,326066,Inbred029_33,325,B73,NIL2655-1-10,142.7396744,26.11085075,20.760925,62.2,62.5,90.96666667,138.4799621,118.8943208,98.13339583,4.184312744,17.04,179.2633333
