Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,332061,Inbred012,331,Mo17,"NIL2613-3,5,8",172.8611111,19.78095556,13.735,65,69,80,172.7940833,96.85875002,83.12375,4.998182014,10.33333333,172.8333333
Iowa,332070,Inbred014,331,B004,NIL2704-1,142.8996944,26.9287625,21.36083334,63,63.5,80.65,137.3002292,127.7141667,106.3533333,3.839245278,17.46666667,176.55
Iowa,332080,Inbred015,331,B040,NIL2740-4,152.5816806,24.59090417,21.10833334,62.5,64,74.66666667,152.1786319,94.82833334,73.72,4.868739028,15.86666667,172.25
Iowa,332081,Inbred016,331,B043,NIL2743-1,119.7345417,23.32637222,10.94291667,65.5,64.5,63.95,120.2301944,69.17895834,58.23604167,4.132778437,16.33333333,147.2
Iowa,332058,Inbred017,331,B049,NIL2749-1,125.8658194,29.4370125,22.83666667,68,67,94.83333333,121.5636945,96.65041665,73.81375,3.967920972,17,177.9166667
Iowa,332071,Inbred018,331,B055,NIL2755-1,137.2534861,26.33203889,19.73916667,67,66.5,112.3166667,133.7257083,116.3395834,96.60041669,3.892285417,17.33333333,204.9666667
Iowa,332079,Inbred019,331,B102,NIL2802-4,138.9715139,25.83991389,19.105,66,66.5,81.33333333,138.4576931,96.8275,77.7225,3.703240625,16.66666667,176
Iowa,332076,Inbred020,331,B107,NIL2807-1,101.9889375,25.25580208,13.28708334,66,64.5,94.25,101.8275417,75.351875,62.06479167,4.641907326,16.33333333,176.5
Iowa,332067,Inbred021,331,B111,NIL2811-1,142.9596667,27.24091792,21.80416667,66,66,92.46666667,137.2799444,121.10375,99.29958334,3.884700694,18,179.0666667
Iowa,332065,Inbred022,331,B122,NIL2822-4,147.9310111,29.52139695,23.0015,65,65,87.33333333,145.2146222,129.7655834,106.7640834,4.011100972,18.46666667,191.7333333
Iowa,332066,Inbred023,331,B123,NIL2823-1,137.3787222,28.75174167,23.39583334,66.5,67.5,104.4,131.905375,123.4979167,100.1020833,4.309559792,18.66666667,209.4
Iowa,332068,Inbred024,331,B125,NIL2825-1,154.8094722,25.73037639,22.93166667,67,67,127.5833333,152.2033264,130.01125,107.0795834,4.332419792,16.33333333,227.5833333
Iowa,332083,Inbred025,331,B131,NIL2831-1,140.9047361,26.07098333,19.71666667,66,64.5,89.58333333,138.3608556,95.48458335,75.76791667,3.568135556,16.66666667,176.1666667
Iowa,332075,Inbred026,331,B154,NIL2854-1,144.6935694,24.53442444,21.22833333,64,65,75.66666667,147.2529722,109.5058333,88.2775,3.934925667,16.73333333,164.3
Iowa,332062,Inbred027,331,B175,NIL2875-4,141.2972014,28.27619722,21.58833334,62,60.5,63.5,136.8852743,120.4320834,98.84375,4.370114097,19.08333333,145.8333333
Iowa,332074,Inbred028,331,B189,NIL2889-4,106.0696944,24.31018125,13.08666667,65.5,66,81.08333333,104.5474583,55.315,42.22833334,4.690374583,16,176.4666667
Iowa,332082,Inbred029_33,331,B73,NIL2655-1-10,143.3943242,26.97942492,22.65406667,66.2,65.5,93.73666667,139.9786063,115.152825,92.49875834,4.1028493,17.16333333,187.7866667
