Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Wisconsin,218070,Inbred012,217,Mo17,"NIL2613-3,5,8",155.3492222,19.67699195,11.96666667,67.5,69.5,98,152.2465417,84.125,72.15833334,4.634847361,11,192.5
Wisconsin,218058,Inbred014,217,B004,NIL2704-1,120.6447083,25.07879583,17.43333334,65,66,87,114.5284236,101.4833333,84.04999999,3.974597292,18.26666667,190
Wisconsin,218077,Inbred015,217,B040,NIL2740-4,133.5228611,24.95920417,19.375,65,66,85.25,129.1395972,117.025,97.65,3.984748472,16,179
Wisconsin,218061,Inbred016,217,B043,NIL2743-1,137.7491389,24.94297639,18.85,60,61,72.5,135.2770486,104.7333333,85.88333334,4.025952917,16,167.5
Wisconsin,218055,Inbred017,217,B049,NIL2749-1,110.3965139,25.85349583,17.68333334,69,70,95.75,106.9357639,87.21666667,69.53333333,3.960592014,16.33333333,172
Wisconsin,218051,Inbred018,217,B055,NIL2755-1,125.4248472,24.12753056,17.80833333,69,70,118.5,119.8065083,106.125,88.31666667,4.244789792,18,214.5
Wisconsin,218081,Inbred019,217,B102,NIL2802-4,117.6549167,24.59168028,15.65833334,69,70,96,114.7409722,84.59166667,68.93333333,3.653705333,17,185
Wisconsin,218065,Inbred020,217,B107,NIL2807-1,110.029625,24.94068333,16.29166667,69,70,101,108.0381944,85.525,69.23333334,4.026843681,16.5,192.5
Wisconsin,218066,Inbred021,217,B111,NIL2811-1,128.6704028,25.41975556,19.51666667,69,70,106.5,124.4229583,111.3666667,91.85,3.946639653,17.16666667,195
Wisconsin,218059,Inbred022,217,B122,NIL2822-4,117.348,26.37737083,17.075,69,70,100,114.5153708,91.96666665,74.89166667,3.7278945,18.93333333,191.5
Wisconsin,218080,Inbred023,217,B123,NIL2823-1,128.9328694,27.19712056,23.25666667,69,70,120,129.0073938,89.26833334,66.01166667,4.587136812,17.66666667,218
Wisconsin,218064,Inbred024,217,B125,NIL2825-1,127.9253361,24.99536389,20.24166667,69,70,121.5,126.5978333,105.8833333,85.64166667,4.474836181,16.83333333,219
Wisconsin,218068,Inbred025,217,B131,NIL2831-1,113.6826389,23.42656111,14.63333333,69,70,105.5,110.0084583,80.75,66.11666667,3.746464722,16,191.5
Wisconsin,218071,Inbred026,217,B154,NIL2854-1,131.3585694,23.77369444,19.94166667,65,66,89.5,127.9849556,113.5916667,93.65,3.718471806,16.83333333,178
Wisconsin,218053,Inbred027,217,B175,NIL2875-4,128.8062222,25.3888875,19.25833334,67.5,69.5,82.5,125.1946597,112,92.74166669,4.191440972,17.33333333,168.5
Wisconsin,218056,Inbred028,217,B189,NIL2889-4,101.2232333,23.73637055,14.43666667,67.5,69.5,86,97.01865139,73,58.56333333,4.754738889,16.91666667,182
Wisconsin,218076,Inbred029_33,217,B73,NIL2655-1-10,119.0605597,25.09665521,19.05208333,68.1,69.2,102.4,117.8963931,91.87041666,72.81833334,4.073586383,16.43333333,196.5
