Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,334069,Inbred012,333,Mo17,"NIL2613-3,5,8",131.9671111,16.83141584,6.349166667,64,68,96.25,133.156325,48.18333334,41.83416667,5.147653958,9.333333333,203.1666667
Iowa,334061,Inbred014,333,B004,NIL2704-1,136.7190278,26.49996111,16.53416667,65.5,66.5,104.5,132.13715,99.59500002,83.06083333,4.145976736,16.66666667,209.6666667
Iowa,334059,Inbred015,333,B040,NIL2740-4,132.4204306,22.65343097,14.68083334,62,62,84.33333333,131.2721389,78.85291667,64.17208334,4.866560625,15.16666667,193.0333333
Iowa,334060,Inbred016,333,B043,NIL2743-1,115.7061722,21.08221519,8.095666667,62,62,79.93333333,115.9298333,45.14508334,37.04941667,4.237053375,14.73333333,165.0166667
Iowa,334057,Inbred017,333,B049,NIL2749-1,104.3834167,25.89159583,12.375,69,69,115.6666667,104.9143472,51.94458333,39.56958333,4.657989583,16.23333333,207.75
Iowa,334063,Inbred018,333,B055,NIL2755-1,128.5409333,25.890855,17.453,65.5,66,120.8666667,126.7068417,102.168,84.715,3.951276917,18.4,222.5
Iowa,334072,Inbred019,333,B102,NIL2802-4,125.8305417,24.66322361,15.525,66,66,98,122.0725764,82.96458334,67.43958334,3.81475368,17.33333333,199.8333333
Iowa,334062,Inbred020,333,B107,NIL2807-1,96.00388611,24.50786028,12.194,66.5,64.5,111.1666667,99.07807986,64.76158334,52.56758334,4.179133437,16.41666667,200.25
Iowa,334083,Inbred021,333,B111,NIL2811-1,127.5185833,27.05152917,16.19916667,65.5,66.5,102.4166667,126.4117431,89.52875002,73.32958334,4.210332222,18.16666667,202.9166667
Iowa,334056,Inbred022,333,B122,NIL2822-4,108.3609861,25.15088597,11.31583333,67,69,118.4166667,106.7487917,50.66166667,39.34583334,4.783453236,16.5,218.7833333
Iowa,334080,Inbred023,333,B123,NIL2823-1,126.057025,26.85727208,17.64175,66,67,121.7,119.2781354,76.85025,59.2085,4.633968063,17.73333333,231
Iowa,334082,Inbred024,333,B125,NIL2825-1,129.7110972,24.06147292,17.41833333,66.5,66.5,127.0833333,127.6967361,95.10958332,77.69125,4.20322375,16,234.6
Iowa,334054,Inbred025,333,B131,NIL2831-1,146.8172917,25.97185278,19.80833334,65,64,99.33333333,143.7135528,104.6779167,84.86958334,3.654948875,17.6,200.4666667
Iowa,334055,Inbred026,333,B154,NIL2854-1,131.4979167,23.72903278,17.07083334,63,64,89.33333333,128.6412986,92.20208335,75.13125,4.120806042,16.73333333,184.6666667
Iowa,334053,Inbred027,333,B175,NIL2875-4,109.8881611,24.42650972,11.767,62.5,63,85.03333333,108.9885778,59.17733334,47.41033334,4.792602528,17.5,183.1166667
Iowa,334051,Inbred028,333,B189,NIL2889-4,117.0738917,25.7267075,13.915,63.5,65,91.88333333,115.3842625,77.561,63.646,4.177953396,16.7,188.5416667
Iowa,334073,Inbred029_33,333,B73,NIL2655-1-10,129.9325711,25.11961575,16.2371,64.5,64.4,101.24,128.1666714,88.37853333,72.14143333,4.329984567,16.95666667,206.97
