Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Iowa,322054,Inbred012,321,Mo17,"NIL2613-3,5,8",175.2106111,18.76770722,11.9275,66.5,70.5,89.71666667,174.7908056,84.16458335,72.23708334,5.175003056,9.333333333,195.6166667
Iowa,322079,Inbred014,321,B004,NIL2704-1,133.8826944,25.6511425,17.64666667,68,68.5,95.925,131.5049722,109.1320834,91.48541667,4.383638715,17,187.25
Iowa,322058,Inbred015,321,B040,NIL2740-4,139.1140361,24.25368389,18.34016667,65,66,83.41666667,139.5163792,96.4965,78.15633334,4.775374625,15.83333333,196.75
Iowa,322057,Inbred016,321,B043,NIL2743-1,142.1782639,22.32890011,13.435,66.5,66,80.375,136.0884375,82.82841667,69.39341667,4.288003305,13.83333333,171.8333333
Iowa,322083,Inbred017,321,B049,NIL2749-1,131.2562639,27.74385555,20.85166667,71,70,98.5,127.7681736,99.38458335,78.53291667,4.216135417,15.5,190.9583333
Iowa,322077,Inbred018,321,B055,NIL2755-1,114.3169333,22.77023922,12.72383334,70,71,116.4166667,111.7617639,82.19433334,69.4705,4.487192222,16.91666667,209.5
Iowa,322071,Inbred019,321,B102,NIL2802-4,152.2289028,25.51394722,19.63458334,68.5,68.5,93.25,145.478941,102.0870834,82.4525,3.898194444,17,181.6666667
Iowa,322068,Inbred020,321,B107,NIL2807-1,104.3932944,25.07039267,14.206,70,67.5,97,90.25334375,84.793375,70.587375,5.182301146,15.8,189.5833333
Iowa,322078,Inbred021,321,B111,NIL2811-1,126.5233972,25.86647805,15.32133334,69.5,71,99.25,125.3179556,94.68533335,79.364,4.274306708,17.53333333,187
Iowa,322072,Inbred022,321,B122,NIL2822-4,138.9732778,29.14209028,20.8125,68.5,70,105.2,136.1625208,116.0933333,95.28083332,4.252312778,17.83333333,195.125
Iowa,322062,Inbred023,321,B123,NIL2823-1,145.8976,27.86581083,24.17233334,68,70,124.8333333,142.2142472,130.3394167,106.1670834,4.47760725,17.43333333,227
Iowa,322056,Inbred024,321,B125,NIL2825-1,164.7535722,25.22177667,24.025,69,69.5,122.8333333,162.3301653,144.3181667,120.2931667,4.415442514,16.1,225.6666667
Iowa,322059,Inbred025,321,B131,NIL2831-1,142.5539722,24.9158125,19.6175,69,67.5,106.0833333,141.8581181,101.2445833,81.62708333,3.904800208,15.66666667,203.0416667
Iowa,322075,Inbred026,321,B154,NIL2854-1,140.1113389,24.13127,18.95,68,67.5,89.58333333,140.5184444,111.5070834,92.55708333,3.878791667,15.83333333,181.2
Iowa,322080,Inbred027,321,B175,NIL2875-4,126.4090972,24.89067708,16.37166667,67,67,71.33333333,119.0722014,99.45583334,83.08416667,4.653685694,15,167.9166667
Iowa,322081,Inbred028,321,B189,NIL2889-4,117.3779861,25.50847917,15.47916667,68,70,91.41666667,115.8769167,78.65083333,63.17166667,4.609800139,16.5,191.5833333
Iowa,322076,Inbred029_33,321,B73,NIL2655-1-10,137.8838294,25.68060368,20.43058333,68.7,68.4,96.1,137.4323092,104.4491458,84.0185625,4.524437795,16.26666667,194.3916667
