Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Wisconsin,220058,Inbred012,219,Mo17,"NIL2613-3,5,8",163.7707333,20.97977558,15.4,67,68,82.5,160.1515861,98.18666665,82.78666667,4.751832,11.63333333,177
Wisconsin,220073,Inbred014,219,B004,NIL2704-1,142.3687639,27.12437778,19.70833333,64,65,88.5,138.5525903,131.825,112.1166667,3.725562639,17.83333333,177.5
Wisconsin,220082,Inbred015,219,B040,NIL2740-4,141.7514028,24.76605833,21.48333333,62.5,63.5,71.5,137.3669042,121.6416667,100.1583333,4.447681111,15.66666667,166.5
Wisconsin,220061,Inbred016,219,B043,NIL2743-1,139.7052917,26.44192917,22.875,63,64,68,136.6211319,130.35,107.475,4.138533125,16.5,156
Wisconsin,220053,Inbred017,219,B049,NIL2749-1,112.7932861,27.4955,18.50833333,69,70,91.5,109.0665417,94.4,75.89166667,4.333045972,17,171.5
Wisconsin,220057,Inbred018,219,B055,NIL2755-1,128.6898056,24.6084725,18.75,69,70,102,124.1061639,103.3583334,84.60833333,4.256521417,17.86666667,195.5
Wisconsin,220069,Inbred019,219,B102,NIL2802-4,121.7506667,24.07390833,16.90833333,68,69,80.5,120.2654722,91.96666667,75.05833334,3.859203681,16.66666667,165
Wisconsin,220063,Inbred020,219,B107,NIL2807-1,113.7510778,25.58071042,16.88333334,69,70,92.5,107.2920694,84.29166667,67.40833334,4.300281736,16.83333333,183
Wisconsin,220059,Inbred021,219,B111,NIL2811-1,133.2589833,27.42617917,21.43333334,69,70,87.5,128.9720278,126.6916667,105.2583333,3.895019444,18.66666667,174
Wisconsin,220070,Inbred022,219,B122,NIL2822-4,127.7743472,27.92183195,19.24166667,69,70,93.5,125.3419444,109.5166667,90.275,3.832119167,18.5,188
Wisconsin,220074,Inbred023,219,B123,NIL2823-1,141.2091833,28.28184167,26.59166667,67,68,103,134.1172917,132.75,106.1583334,4.091569583,18,206.5
Wisconsin,220081,Inbred024,219,B125,NIL2825-1,141.8971,24.89129444,22.03333333,69,70,109.5,140.2485695,99.4,77.36666667,4.702704167,16.75,204.5
Wisconsin,220067,Inbred025,219,B131,NIL2831-1,128.68275,24.46849028,17.83333333,69,70,85.5,125.1770208,98.96666669,81.13333333,3.642492292,16.83333333,169
Wisconsin,220065,Inbred026,219,B154,NIL2854-1,136.693275,24.1474625,20.69166667,65,66,77,134.1963139,116.6916667,96,3.760231875,17,160.5
Wisconsin,220075,Inbred027,219,B175,NIL2875-4,143.9234555,27.47609722,23.825,63.5,65,69.5,140.2371042,137.575,113.75,4.090220208,17.16666667,151.5
Wisconsin,220076,Inbred028,219,B189,NIL2889-4,102.1027083,23.73284278,13.64166667,69,70,79,97.89054167,68.63333333,54.99166667,4.919115695,16.16666667,171.5
Wisconsin,220080,Inbred029_33,219,B73,NIL2655-1-10,127.5055306,25.6131695,20.38,68.3,69.3,88.5,123.687011,106.4633333,86.08333333,4.028096747,16.75666667,183.9
