Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Minnesota,112076,Inbred012,111,Mo17,"NIL2613-3,5,8",159.0754375,19.385534,13.16,68.5,70,63.58333333,158.8537167,64.35,51.19,5.547349417,10.35,149.25
Minnesota,112066,Inbred014,111,B004,NIL2704-1,132.3445833,26.18687083,16.69166667,69,69.5,89.75,128.5328194,92.33333334,75.64166667,4.852334861,17.16666667,185.75
Minnesota,112055,Inbred015,111,B040,NIL2740-4,136.7516597,24.55756667,18.19166667,69,69,66.75,134.096566,97.34166665,79.15,4.194995208,17,156
Minnesota,112070,Inbred016,111,B043,NIL2743-1,112.6207778,22.68008333,10.45,69,70.5,56.33333333,107.7242222,67.56666667,57.11666667,3.7328475,15.66666667,135.8833333
Minnesota,112075,Inbred017,111,B049,NIL2749-1,114.9477,29.58253334,19.1,66.5,68,80.41666667,113.7666,91.84,72.74,3.911007333,18.8,163.8333333
Minnesota,112082,Inbred018,111,B055,NIL2755-1,137.76325,26.17434722,20.1,68,70,96.5,133.1092292,116.6666667,96.56666667,4.467930556,19.33333333,197.5
Minnesota,112057,Inbred019,111,B102,NIL2802-4,127.9348611,25.42033764,16.60833334,69,70.5,77.33333333,125.8719931,83.29166665,66.68333333,4.132535903,17.66666667,161.8333333
Minnesota,112072,Inbred020,111,B107,NIL2807-1,111.9716667,26.37296111,16.21666667,65.5,68,84.125,113.3104583,87.97083335,71.75416667,4.074301111,16.33333333,168.5
Minnesota,112081,Inbred021,111,B111,NIL2811-1,134.9974722,27.95728611,20.25,69,71,83.33333333,131.6407917,120.95,100.7,3.76570875,19.33333333,172.1666667
Minnesota,112067,Inbred022,111,B122,NIL2822-4,134.3536528,27.93770694,20.21666667,69,72,87.58333333,131.3876736,109.8833333,89.66666667,3.986115486,19.5,183.8333333
Minnesota,112060,Inbred023,111,B123,NIL2823-1,113.1481805,28.86515972,21.10833334,68.5,70.5,104.1666667,108.0196736,95.78333335,74.675,4.827622778,19.66666667,205
Minnesota,112077,Inbred024,111,B125,NIL2825-1,144.9652083,25.1406025,20.365,67,67.5,85.75,141.7574,119.9,99.535,4.352295292,17.6,172.25
Minnesota,112061,Inbred025,111,B131,NIL2831-1,130.6089167,25.75309528,17.28166667,67,69.5,81.9,126.7788083,89.14833334,71.86666667,3.546053431,17.83333333,165.75
Minnesota,112062,Inbred026,111,B154,NIL2854-1,142.3246667,25.76300833,22.68,68.5,69,65.16666667,138.938,118.32,95.64,3.745611,17.6,151.5833333
Minnesota,112074,Inbred027,111,B175,NIL2875-4,112.8691333,25.229185,14.18,66.5,68,46.95833333,111.2350667,91.14,76.96,4.81383975,17.06666667,124.7083333
Minnesota,112071,Inbred028,111,B189,NIL2889-4,105.5581667,25.64299333,14.84,69,69,71.91666667,103.7611167,80.88,66.04,4.518363667,17.2,158.9166667
Minnesota,112080,Inbred029_33,111,B73,NIL2655-1-10,131.5950482,25.71499057,18.53208333,68.4,70.8,84.51666667,126.1196195,97.54708333,79.015,4.46265006,16.86666667,174.5916667
