Plot,State,Location,Density,Planting Date,Rep within Environment,Genotype,Kernel Width,Kernel Length,Cob Length,Cob Width,Cob Weight,Days to Anthesis,Days to Silk,Ear Height Maturity,Ear length,Ear Width,Ear Weight,Per Plant Grain Weight,Kernel Depth,Kernel Row Number,Leaf Number Above Ear,Leaf Number Below Ear,Plant Height Maturity,Plant Height 14 DAP,Plant Height 21 DAP,Plant Height 28 DAP,Plant Height 35 DAP,Plant Height 42 DAP,Plant Height 49 DAP,Plant Height 56 DAP,Plant Height 63 DAP,Plant Height 70 DAP
107081,Minnesota,St Paul - 2,Low,5/20/15,Rep1,B73,6.913456667,11.73522333,130.2258,25.55190611,20.57916667,73.6,72.8,88.96666667,126.6364625,34.65124444,140.5041667,119.925,4.072773583,17.6,6.1,14.13333333,179.1666667,.,18.9,33.33333333,56.23333333,80.7,112.7666667,153.9,182.26,.
108082,Minnesota,St Paul - 2,Low,5/20/15,Rep2,B73,6.90753,11.48757333,132.9506556,25.95012167,20.9,72.2,72.2,92.60666667,127.1934633,34.70991139,140.3966667,119.4966667,4.049423222,17.13333333,5.933333333,14.27333333,181.0066667,.,18.96666667,32.26666667,52.56666667,79.13333333,111.3333333,148.7333333,177.6733333,.
109081,Minnesota,Waseca,High,6/2/15,Rep1,B73,6.514041667,10.68959,117.7515778,25.51606389,17.03,67.4,69,98.53333333,115.9862778,33.1327125,96.29333333,79.26333333,4.01031075,18,.,.,193,.,.,.,.,.,.,.,.,.
110070,Minnesota,Waseca,High,6/2/15,Rep2,B73,6.098328333,10.63625,121.7921181,25.9318125,18.284,68.8,70.6,81.06666667,118.8208472,33.20011069,97.66066667,79.37666667,3.862519792,18.02666667,.,.,176.2666667,.,.,.,.,.,.,.,.,.
111083,Minnesota,Waseca,Low,6/2/15,Rep1,B73,6.913668333,10.73446333,123.4348278,25.89192744,18.185,68.2,70.4,88.6,119.5201233,33.04084917,96.28999999,78.105,4.27154975,17.06666667,.,.,180.2,.,.,.,.,.,.,.,.,.
112080,Minnesota,Waseca,Low,6/2/15,Rep2,B73,6.665383333,11.03862833,139.7552685,25.5380537,18.87916667,68.6,71.2,80.43333333,132.7191157,31.23965991,98.80416666,79.925,4.65375037,16.66666667,.,.,168.9833333,.,.,.,.,.,.,.,.,.
217083,Wisconsin,Arlington,High,6/9/15,Rep1,B73,6.621568333,10.70207833,121.4663278,25.70621111,19.66666667,69,70,102.2,119.4308,32.05921678,94.40333333,74.73666667,4.115811767,16.6,.,.,194.8,.,.,.,.,.,.,.,.,.
218076,Wisconsin,Arlington,High,6/9/15,Rep2,B73,6.82879,10.62460833,116.6547917,24.48709931,18.4375,67.2,68.4,102.6,116.3619861,31.48528261,89.3375,70.9,4.031361,16.26666667,.,.,198.2,.,.,.,.,.,.,.,.,.
219083,Wisconsin,Arlington,Low,6/9/15,Rep1,B73,6.833023333,11.04646,125.4802333,25.10194511,20.04333333,68.2,69.2,88.6,121.5094372,33.23874692,102.16,82.11666667,4.031454133,16.48,.,.,183,.,.,.,.,.,.,.,.,.
220080,Wisconsin,Arlington,Low,6/9/15,Rep2,B73,.,.,129.5308278,26.12439389,20.71666667,68.4,69.4,88.4,125.8645847,32.19582292,110.7666667,90.05,4.024739361,17.03333333,.,.,184.8,.,.,.,.,.,.,.,.,.
