State,Plot,Entry,Genotype,envi,envi1,rep,SW,SL,CL,CW,CWT,DTA,DTS,EH,EL,EW,EWT,GWT,KD,KH,KRN,KW,LNA,LNB,PHt,PHt14,PHt21,PHt28,PHt35,PHt42,PHt49,PHt56,PHt63,PHt70
Iowa,331059,Inbred024,B125,X331,I_K1_L,1,7.098241667,10.823575,150.8160278,25.87660278,22.23833333,67,67,130.3333333,147.9479444,35.093275,119.9458333,97.7075,4.497475694,4.184120835,16.33333333,6.890548433,5,.,219.5,22.5,37.33333333,55.33333333,72.5,96,154.8333333,.,.,.
Iowa,331077,Inbred025,B131,X331,I_K1_L,1,6.129655,9.830011667,138.6910556,25.84379445,19.16,66,65,90.33333333,138.5527667,33.03989667,89.62,70.46,3.56155625,3.616536667,16.33333333,6.344067409,5,.,172,22.33333333,36.66666667,56.5,72.83333333,94.16666667,145.5,.,.,.
Iowa,331064,Inbred026,B154,X331,I_K1_L,1,6.676601667,10.60979167,142.0036389,23.62933778,.,64,65,72.66666667,148.3571667,.,.,.,3.884591333,.,16.8,.,5.166666667,.,158,22.33333333,36,54.66666667,70.5,89.16666667,131.6666667,.,.,.
Iowa,331082,Inbred027,B175,X331,I_K1_L,1,6.230408333,9.839113333,144.033875,28.44165,22.85,62,61,64,139.7926042,39.01651667,118.5625,95.7125,4.28752,5.128683335,19.5,6.128700107,4.833333333,.,143.1666667,21.83333333,38.5,58,72.33333333,94.66666667,140.6666667,.,.,.
Iowa,331052,Inbred028,B189,X331,I_K1_L,1,7.097395,10.68556833,110.7581111,26.12531111,14.79166667,66,66,81.16666667,109.8885139,.,54.72916667,39.9375,4.695084167,.,16,.,5.333333333,.,178.3333333,17.5,29,46.66666667,60.66666667,83.66666667,134.3333333,.,.,.
Iowa,331070,Inbred029_33,B73,X331,I_K1_L,1,7.151581667,10.58693167,142.3138011,26.87098456,21.9798,66.8,65.6,93.77333333,138.6550722,36.62891667,111.2637333,89.28393333,4.157016211,4.668308335,16.69333333,5.753656776,5.266666667,.,185.0866667,20.32666667,36.02,55.69333333,71.52666667,95,148.5466667,.,.,.
Iowa,332061,Inbred012,Mo17,X331,I_K1_L,2,8.267911667,10.74271833,173.9088611,19.93134472,14.11666667,65,69,78.66666667,174.4150972,.,93.66833333,79.55166667,5.032480833,.,10.33333333,.,5,.,177.3333333,19.66666667,36.16666667,53.16666667,68.5,88.16666667,143.3333333,.,.,.
Iowa,332070,Inbred014,B004,X331,I_K1_L,2,6.639771667,10.927715,137.8232222,25.92175833,19.515,64,64,75.8,132.5015694,37.55460556,116.6483333,97.13333333,3.801215833,4.479572223,17.6,6.857202936,5.6,.,181.6,22.33333333,39.6,59,77.8,99.8,147.8,.,.,.
Iowa,332080,Inbred015,B040,X331,I_K1_L,2,7.026275,10.419715,148.2619167,24.79957222,20.51666667,63,64,75,148.4488889,30.08206667,96.53916667,76.0225,4.727380972,2.481791668,15.33333333,6.475268453,5,.,173.6666667,22.83333333,35,54.5,70.16666667,91,144,.,.,.
Iowa,332081,Inbred016,B043,X331,I_K1_L,2,5.663565,9.611571667,121.4014167,23.13869445,11.20333333,66,64,65.5,120.2019722,30.99858333,70.81416667,59.61083333,3.985154167,3.966368749,15.66666667,6.125806034,4.5,.,152,17,28.83333333,45.5,57.66666667,70.5,110.8333333,.,.,.
Iowa,332058,Inbred017,B049,X331,I_K1_L,2,6.469591667,10.13163667,119.3059167,29.54760834,20.95666667,67,67,95.16666667,113.9842639,.,87.69,66.73333333,4.036201111,.,17,.,5,.,177,19.83333333,35.83333333,56.33333333,71.16666667,91.5,139.6666667,.,.,.
Iowa,332071,Inbred018,B055,X331,I_K1_L,2,6.794288333,11.32183833,137.1811667,26.33309722,19.51833333,67,66,112.8,132.3922083,38.03861667,112.4825,92.96416667,3.949770556,5.808133335,17,6.638991038,5.2,.,207.6,18.33333333,32.83333333,53.5,71.33333333,98,152.3333333,.,.,.
Iowa,332079,Inbred019,B102,X331,I_K1_L,2,6.12013,10.16740833,139.2413889,26.06463333,19.43833333,66,66,80,137.2746528,34.00425,97.58833333,78.15,3.661145417,3.74015,17,6.676718874,5,.,175.3333333,22,39.5,60.16666667,76.33333333,97.66666667,143.5,.,.,.
Iowa,332076,Inbred020,B107,X331,I_K1_L,2,6.882976667,10.459085,100.1818333,25.39153333,12.85666667,.,65,93,98.63666667,34.64348333,77.82,64.96333333,4.739992778,4.27143333,16.66666667,6.046428485,5.5,.,175.25,19.75,35,58.25,75,97.5,143.25,.,.,.
Iowa,332067,Inbred021,B111,X331,I_K1_L,2,6.298353333,10.814685,141.0123333,26.39014139,20.78,66,66,96.33333333,137.048875,37.31789167,121.18,100.4,3.879744167,4.553479167,18,6.292344407,5.166666667,.,187.3333333,21.16666667,36,57.66666667,73.66666667,97.16666667,147.5,.,.,.
